supp_cd,mgfname,itpack_cd,itempackname,it_cd,itemname,pack_cd,packages,pkg_unit,no_pkg,short_cd,is_0_mrp,mrp_order,ipmrp_cd,mrp_item,mrp,sal_gr_rt,off_onmrp,sal_remark,it_und_gp
"SNP","DUVAL ENTERPRISES","SNP17EE","SN.MINT-15g","SNP17","SN.MINT","EE","15g","",0.000,"MI",F,1,"SNP17EEB","SN.MINT-15g @79.00",79.00,56.4300,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP21PA","SN.THYME 6g.-","SNP21","SN.THYME 6g.","PA","","",0.000,"THM",F,1,"SNP21PAB","SN.THYME 6g.- @99.00",99.00,70.7100,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP22ZH","SN.TIKKA MIX-40g","SNP22","SN.TIKKA MIX","ZH","40g","",0.000,"TK",F,1,"SNP22ZHB","SN.TIKKA MIX-40g @79.00",79.00,56.4300,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP23ZW","SN.CHILLI FLAKES-35g","SNP23","SN.CHILLI FLAKES","ZW","35g","",0.000,"CF",F,1,"SNP23ZWB","SN.CHILLI FLAKES-35g @65.00",65.00,46.4300,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP24EH","SN.HOT'N'SWEETS-45g","SNP24","SN.HOT'N'SWEETS","EH","45g","",0.000,"HS",F,1,"SNP24EHB","SN.HOT'N'SWEETS-45g @79.00",79.00,56.4300,0.00,"",""
"HFIL","HALDIRAM FOODS INT.P","HD044ZC","H.RAJBHOG-1Kg","HD044","H.RAJBHOG","ZC","1Kg","",0.000,"",F,1,"HD044ZCA","H.RAJBHOG-1Kg @185.00",185.00,153.2000,0.00,"",""
"SRB","NINA SALES CORPORATION","SB012AB","S.GG PASTE-200g","SB012","S.GG PASTE","AB","200GM","GM",200.00,"520",F,2,"SB012ABB","S.GG PASTE-200g @48.00",48.00,21.4300,0.00,"",""
"SRB","NINA SALES CORPORATION","SB018GR","S.SYN.VINEGAR-670ml","SB018","S.SYN.VINEGAR","GR","670ml","",0.000,"547",F,1,"SB018GRD","S.SYN.VINEGAR-670ml @45.00",45.00,19.4900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB017AB","S.JAIN-GRN.CH.SAUCE-200g","SB017","S.JAIN-GRN.CH.SAUCE","AB","200GM","GM",200.00,"544",F,1,"SB017ABC","S.JAIN-GRN.CH.SAUCE-200g @55.00",55.00,31.2500,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014GP","S.RED.CHILII SAUCE-5Kg","SB014","S.RED.CHILII SAUCE","GP","5Kg","",0.000,"",F,1,"SB014GPB","S.RED.CHILII SAUCE-5Kg @330.00",330.00,169.6500,0.00,"",""
"SRB","NINA SALES CORPORATION","SRB44ZK","SB.VEG.Mayonnaise-900g","SRB44","SB.VEG.Mayonnaise","ZK","900g","",0.000,"SRB",F,1,"SRB44ZKA","SB.VEG.Mayonnaise-900g @170.00",170.00,93.7500,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP33PA","SN.CS French Vanilla 22.5g.-","SNP33","SN.CS French Vanilla 22.5g.","PA","","",0.000,"",F,1,"SNP33PAA","SN.CS French Vanilla 22.5g.- @99.00",99.00,62.9200,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP34PA","SN.CS.Choc.Marchmellow 40g.-","SNP34","SN.CS.Choc.Marchmellow 40g.","PA","","",0.000,"",F,1,"SNP34PAA","SN.CS.Choc.Marchmellow 40g.- @99.00",99.00,62.9200,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP35PA","SN.CS.Autam Spice 27.5g.-","SNP35","SN.CS.Autam Spice 27.5g.","PA","","",0.000,"",F,1,"SNP35PAA","SN.CS.Autam Spice 27.5g.- @99.00",99.00,62.9200,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP36PA","SN.CS.Silky Hzeelnut 30g.-","SNP36","SN.CS.Silky Hzeelnut 30g.","PA","","",0.000,"",F,1,"SNP36PAA","SN.CS.Silky Hzeelnut 30g.- @99.00",99.00,62.9200,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP37PA","SN.CS.Toffe Nuts 30g.-","SNP37","SN.CS.Toffe Nuts 30g.","PA","","",0.000,"",F,1,"SNP37PAA","SN.CS.Toffe Nuts 30g.- @99.00",99.00,62.9200,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP38PA","SN.CS.ASSO.29.5g.-","SNP38","SN.CS.ASSO.29.5g.","PA","","",0.000,"",F,1,"SNP38PAA","SN.CS.ASSO.29.5g.- @99.00",99.00,62.9200,0.00,"",""
"SRB","NINA SALES CORPORATION","SB009AJ","S.JAIN-SCHEZWAN-250g","SB009","S.JAIN-SCHEZWAN","AJ","250GM","GM",250.00,"527",F,1,"SB009AJD","S.JAIN-SCHEZWAN-250g @70.00",70.00,44.6500,0.00,"",""
"*B","BAGRRY'S PRODUCTS","*B011AL","Bag.C.Muesli-500g","*B011","Bag.C.Muesli","AL","500GM","GM",500.00,"037",F,1,"*B011ALC","Bag.C.Muesli-500g @305.00",305.00,0.0000,0.00,"",""
"*B","BAGRRY'S PRODUCTS","*B041AL","NO ADD.SUGAR C.M.-500g","*B041","NO ADD.SUGAR C.M.","AL","500GM","GM",500.00,"043",F,2,"*B041ALC","NO ADD.SUGAR C.M.-500g @305.00",305.00,0.0000,0.00,"",""
"SRB","NINA SALES CORPORATION","SB006ZW","S.MIX PICKLES-35g","SB006","S.MIX PICKLES","ZW","35g","",0.000,"554",F,1,"SB006ZWA","S.MIX PICKLES-35g @5.00",5.00,3.1300,0.00,"",""
"SRB","NINA SALES CORPORATION","SB046PA","S.T.KETCHUP(10g*250pc)JAR-","SB046","S.T.KETCHUP(10g*250pc)JAR","PA","","",0.000,"SRB",F,1,"SB046PAA","S.T.KETCHUP(10g*250pc)JAR- @250.00",250.00,218.7600,0.00,"",""
"SRB","NINA SALES CORPORATION","SB007ZW","S.MANGO PICKLE-35g","SB007","S.MANGO PICKLE","ZW","35g","",0.000,"555",F,1,"SB007ZWA","S.MANGO PICKLE-35g @5.00",5.00,3.1300,0.00,"",""
"SRB","NINA SALES CORPORATION","SB016AB","S.JAIN-RED CH.SAUCE-200g","SB016","S.JAIN-RED CH.SAUCE","AB","200GM","GM",200.00,"542",F,1,"SB016ABC","S.JAIN-RED CH.SAUCE-200g @55.00",55.00,31.2500,0.00,"",""
"SRB","NINA SALES CORPORATION","SB011FE","S.PANI PURI PASTE-100g-POU","SB011","S.PANI PURI PASTE","FE","100g-POU","",0.000,"529",F,1,"SB011FED","S.PANI PURI PASTE-100g-POU @20.00",20.00,14.2900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB047AA","S.IMALI CHUTNY-100g","SB047","S.IMALI CHUTNY","AA","100GM","GM",100.00,"SRB",F,1,"SB047AAA","S.IMALI CHUTNY-100g @20.00",20.00,14.2900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB008AJ","S.SCHEZWAN-250g","SB008","S.SCHEZWAN","AJ","250GM","GM",250.00,"525",F,2,"SB008AJB","S.SCHEZWAN-250g @66.00",66.00,39.2900,0.00,"",""
"HD","HALDIRAM FOODS INT.L","HD169AI","HD.CORNFLAX MIX.-150g","HD169","HD.CORNFLAX MIX.","AI","150GM","GM",150.00,"14",F,1,"HD169AIG","HD.CORNFLAX MIX.-150g @55.00",55.00,42.7000,0.00,"",""
